kod_lokality,nazev_lokality,zemepisna_sirka,pocet_krabu,prumerna_sirka_mm
GTM,Guana Tolomoto Matanzas NERR,30,28,12.403214285714286
SI,Sapelo Island NERR,31.4,30,9.854333333333333
NIB,North Inlet Winyah Bay NERR,33.3,30,13.292
ZI,Zeke's Island NERR,34,35,12.063714285714285
RC,Rachel Carson NERR,34.7,25,12.4916
VCR,Virginia Coastal Reserve LTER,37.2,30,16.33566666666667
DB,Delaware Bay NERR,39.1,30,15.604000000000001
JC,Jacques Cousteau NERR,39.6,30,15.274666666666667
CT,Sixpenny Island - Connecticut,41.3,33,14.691515151515151
NB,Narragansett Bay NERR,41.6,29,17.14034482758621
CC,Cape Cod,41.9,27,16.815185185185186
BC,Bare Cove Park,42.2,37,16.197297297297297
PIE,Plum Island Estuary - West Creek,42.7,28,18.50392857142857
